Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
art;art;;;2015;2022;NA;;;;
atz;Automobiltechnische Zeitschrift;;;2007;16;NA;;;;
azm;Abendzeitung;;;2005;2022;NA;München;BY;;
baz;Basler Zeitung;;;2000;2022;NA;;;;
bdz;Badische Zeitung;;;2003;2022;NA;Freiburg im Breisgau;BW;;
bee;BEEF!;;;2015;2022;NA;;;;
bez;Berner Zeitung;2001;2013;2018;2022;NA;;;;
bku;Berliner Kurier;;;2000;2022;NA;Berlin;BE;;
bla;BLAU - das Kunstmagazin;;;2018;2022;NA;;;;
bli;Blick;;;2004;2022;NA;;;;
boz;Börsen-Zeitung;;;2004;2022;NA;;;;
brg;BRIGITTE;;;2009;2022;NA;;;;
brm;BRIGITTE Mom;;;2018;2022;NA;;;;
bru;Bayerische Rundschau;;;2009;2022;NA;Kulmbach;BY;;
brw;BRIGITTE Woman;;;2015;2022;NA;;;;
bsz;Bayerische Staatszeitung;;;2004;2017;NA;München;BY;;
bup;Business Punk;;;2018;2022;NA;;;;
bze;B.Z.;;;2000;2022;NA;Berlin;BE;;
bun;Der Bund;;;2000 u. 2004;2022;NA;;;;
bwa;Braunauer Warte am Inn;;;2013;2022;NA;;;;
chk;Chefkoch;;;2015;2022;NA;;;;
cou;Couch;;;2015;2022;NA;;;;
ctb;Coburger Tageblatt;;;2009;2022;NA;Coburg;BY;;
dak;Die Aktuelle;;;2015;2022;NA;;;;
daz;Döbelner Allgemeine Zeitung;;;2013;2022;NA;Döbeln;SN;;
dec;Darmstädter Echo;;;2000;2022;NA;Darmstadt;HE;;
dki;Die Kitzinger;;;2011;2022;NA;Kitzingen;BY;;
dnn;Dresdner Neueste Nachrichten;;;2013;2022;NA;Dresden;SN;;
dog;Dogs;;;2015;2022;NA;;;;
dol;Dolomiten;;;2000;2022;NA;;;;
dpr;Der Prignitzer;;;2013;2022;NA;Schwerin;BB;;
edf;Echo der Frau;;;2015;2022;NA;;;;
eft;Eichsfelder Tageblatt;;;2015;2022;NA;Göttingen;NI;;
elf;Eltern family;;;2015;2022;NA;;;;
elt;Eltern;;;2015;2022;NA;;;;
ett;Essen und Trinken Für jeden Tag;;;2015;2022;NA;;;;
eut;Essen und Trinken;;;2015;2022;NA;;;;
euw;Europäische Zeitschrift für Wirtschaftsrecht;;;2017;2022;NA;;;;
fis;Frau im Spiegel;;;2015;2022;NA;;;;
fmt;Format;;;2000;2018;NA;;;;
fnp;Frankfurter Neue Presse;;;2000;2022;NA;Frankfurt am Main;HE;;
