newspaper,length
spiegel.de,263
spiegel.de,1673
spiegel.de,3082
spiegel.de,536
spiegel.de,3349
spiegel.de,154
spiegel.de,944
spiegel.de,625
spiegel.de,841
spiegel.de,1013
spiegel.de,1479
spiegel.de,450
spiegel.de,3244
spiegel.de,1271
spiegel.de,1406
spiegel.de,735
spiegel.de,1205
spiegel.de,1501
spiegel.de,793
spiegel.de,801
spiegel.de,815
spiegel.de,660
spiegel.de,1076
spiegel.de,1400
spiegel.de,1353
spiegel.de,1199
spiegel.de,767
spiegel.de,775
spiegel.de,871
spiegel.de,1200
spiegel.de,907
spiegel.de,1917
spiegel.de,869
spiegel.de,905
spiegel.de,814
spiegel.de,1009
spiegel.de,1583
spiegel.de,2194
spiegel.de,917
spiegel.de,1006
spiegel.de,2138
spiegel.de,877
spiegel.de,2108
spiegel.de,1374
spiegel.de,319
spiegel.de,603
spiegel.de,324
spiegel.de,894
spiegel.de,830
spiegel.de,1341
spiegel.de,478
spiegel.de,1089
spiegel.de,592
spiegel.de,1123
spiegel.de,1715
spiegel.de,1458
spiegel.de,832
spiegel.de,1107
spiegel.de,918
spiegel.de,908
spiegel.de,586
spiegel.de,900
spiegel.de,772
spiegel.de,1009
spiegel.de,343
spiegel.de,689
spiegel.de,1533
spiegel.de,347
spiegel.de,1607
spiegel.de,680
spiegel.de,731
spiegel.de,804
spiegel.de,753
spiegel.de,1274
spiegel.de,902
spiegel.de,1025
spiegel.de,893
spiegel.de,1004
spiegel.de,1042
spiegel.de,1073
spiegel.de,2309
spiegel.de,418
spiegel.de,650
spiegel.de,1369
spiegel.de,930
spiegel.de,1879
spiegel.de,737
spiegel.de,663
spiegel.de,3578
spiegel.de,2732
spiegel.de,1200
spiegel.de,820
spiegel.de,1844
spiegel.de,1712
spiegel.de,3491
spiegel.de,1142
spiegel.de,980
spiegel.de,1169
spiegel.de,807
spiegel.de,765
spiegel.de,812
spiegel.de,1737
spiegel.de,966
spiegel.de,757
spiegel.de,2624
spiegel.de,612
spiegel.de,1835
spiegel.de,318
spiegel.de,935
spiegel.de,1137
spiegel.de,684
spiegel.de,860
spiegel.de,791
spiegel.de,1132
spiegel.de,559
spiegel.de,656
spiegel.de,1460
spiegel.de,1025
spiegel.de,749
spiegel.de,826
spiegel.de,183
spiegel.de,1317
spiegel.de,283
spiegel.de,280
spiegel.de,1682
spiegel.de,726
spiegel.de,850
spiegel.de,1066
spiegel.de,352
spiegel.de,864
spiegel.de,950
spiegel.de,5140
spiegel.de,658
spiegel.de,2434
spiegel.de,1331
spiegel.de,1388
spiegel.de,2300
spiegel.de,2111
spiegel.de,917
spiegel.de,655
spiegel.de,4562
spiegel.de,4031
spiegel.de,1054
spiegel.de,1225
spiegel.de,1212
spiegel.de,1134
spiegel.de,1107
spiegel.de,1302
spiegel.de,892
spiegel.de,1027
spiegel.de,1128
spiegel.de,995
spiegel.de,729
spiegel.de,1153
spiegel.de,873
spiegel.de,978
spiegel.de,1593
spiegel.de,1284
spiegel.de,1187
spiegel.de,2076
spiegel.de,1078
spiegel.de,1040
spiegel.de,1138
spiegel.de,768
spiegel.de,665
spiegel.de,663
spiegel.de,1021
spiegel.de,878
spiegel.de,859
spiegel.de,976
spiegel.de,664
spiegel.de,940
spiegel.de,941
spiegel.de,815
spiegel.de,1885
spiegel.de,854
spiegel.de,654
spiegel.de,2619
spiegel.de,1289
spiegel.de,1284
spiegel.de,910
spiegel.de,731
spiegel.de,1052
spiegel.de,949
spiegel.de,767
spiegel.de,1015
spiegel.de,1135
spiegel.de,4124
spiegel.de,1749
spiegel.de,556
spiegel.de,2638
spiegel.de,1409
spiegel.de,1297
spiegel.de,1119
spiegel.de,881
spiegel.de,799
spiegel.de,2533
spiegel.de,828
sueddeutsche.de,2069
sueddeutsche.de,3993
