QUARTAL;Titelnummer;IVW_Nummer;ZIS_PZN;Titelbezeichnung;Titelzusatz;Ort;Verlagsnummer;Preislisten;Erscheinungsweise;Kennzeichen_Statistik;Verbreitung;Verkauf;Druckauflage_gesamt;Abo_gesamt;davon_Mehrf_25;davon_Mitglieder;EV_Lieferung;Remittenden;Sonst_Verkauf;Lesezirkel;Bordexemplare;Freistücke_gesamt;davon_ausgelegt;Zahl_Auslege_Stellen;Reste_Belege;Sonder_Hinweis;Verbreitung_Ausland;Verkauf_Ausland;Druckauflage_gesamt_A;Abo_gesamt_A;davon_Mehrf_25_A;davon_Mitglieder_A;EV_Lieferung_A;Remittenden_A;Sonst_Verkauf_A;Lesezirkel_A;Bordexemplare_A;Freistücke_Gesamt_A;davon_ausgelegt_A;Zahl_Auslege_Stellen_A;Reste_Belege_A;Sachgruppe;KdZ_VerkWeitKunden_Gesamt;KdZ_VerkWeitKunden_Ausland;HB_Bindeauflage_CDROM;HB_VerkAuflage_CDROM;HB_FreiGesamt_CDROM;HB_Reste_CDROM;TKV_Verbreitung_gesamt;TKV_Verbreitung_CDROM;TKV_zur_Abholung_geliefert;TKV_zur_Abholung_geliefert_CD;TKV_Direktvertr_gesamt;TKV_Direktvertr_CDROM;Erschienen;VertriebAbgeschlossen;Supplement_Gesamtverkauf;Supplement_sonstVerbreitung;Korrektur_KZ;enthaelt_ePaper;enthaelt_Pocket;enthalten_in;Korrektur_Datum
20223;6624;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;davon ePaper;Weißenfels;377;;Mo-Sa;10;808;738;808;403;0;0;0;0;335;0;0;70;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;2590;
20223;12127;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;davon ePaper;Weißenfels;377;;Sa;10;808;738;808;403;0;0;0;0;335;0;0;70;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12125;
20223;12124;1268001380;102567;Mitteldeutsche Zeitung Weißenfels;;Weißenfels;377;;Mo-Fr;10;8020;7732;7604;7043;0;0;388;213;514;0;0;288;0;0;179;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12126;;;
20223;12131;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;davon ePaper;Wittenberg;377;;Sa;10;1223;1091;1223;570;0;0;0;0;521;0;0;132;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12129;
20223;12128;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;;Wittenberg;377;;Mo-Fr;10;14659;14027;14368;12723;0;0;722;376;958;0;0;632;0;0;556;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12130;;;
20223;12129;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;;Wittenberg;377;;Sa;10;15123;14425;14891;12898;0;0;976;426;977;0;0;698;0;0;565;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12131;;;
20223;12130;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;davon ePaper;Wittenberg;377;;Mo-Fr;10;1223;1091;1223;570;0;0;0;0;521;0;0;132;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12128;
20223;2591;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;;Wittenberg;377;;Mo-Sa;10;14735;14092;14454;12751;0;0;764;385;962;0;0;643;0;0;557;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6625;;;
20223;6625;1268001400;104356;Mitteldeutsche Zeitung Wittenberg;davon ePaper;Wittenberg;377;;Mo-Sa;10;1223;1091;1223;570;0;0;0;0;521;0;0;132;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;2591;
20223;12134;1268001420;100621;Mitteldeutsche Zeitung Zeitz;davon ePaper;Zeitz;377;;Mo-Fr;10;514;451;514;234;0;0;0;0;217;0;0;63;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12132;
20223;2592;1268001420;100621;Mitteldeutsche Zeitung Zeitz;;Zeitz;377;;Mo-Sa;10;5487;5291;5381;4762;0;0;373;204;360;0;0;196;0;0;204;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;6626;;;
20223;6626;1268001420;100621;Mitteldeutsche Zeitung Zeitz;davon ePaper;Zeitz;377;;Mo-Sa;10;514;451;514;234;0;0;0;0;217;0;0;63;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;2592;
20223;12135;1268001420;100621;Mitteldeutsche Zeitung Zeitz;davon ePaper;Zeitz;377;;Sa;10;514;451;514;234;0;0;0;0;217;0;0;63;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;12133;
20223;12132;1268001420;100621;Mitteldeutsche Zeitung Zeitz;;Zeitz;377;;Mo-Fr;10;5455;5264;5324;4752;0;0;333;180;359;0;0;191;0;0;203;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12134;;;
20223;12133;1268001420;100621;Mitteldeutsche Zeitung Zeitz;;Zeitz;377;;Sa;10;5653;5436;5666;4813;0;0;579;323;367;0;0;217;0;0;204;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;12135;;;
20223;9206;1271900000;104629;BILD am SONNTAG Deutschland Gesamt;davon ePaper;Berlin;1;;So;12;179774;149069;179774;100270;0;0;1579;0;46416;0;804;30705;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;8687;
20223;8687;1271900000;104629;BILD am SONNTAG Deutschland Gesamt;(BamS + B.Z. am So);Berlin;1;;So;10;712156;678687;709285;112771;0;0;644626;169203;46861;0;43632;33469;0;0;7700;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9206;;;
20223;8791;1272000000;102364;BILD am SONNTAG Gesamt;davon ePaper;Berlin;1;;So;10;143402;120297;143402;100159;0;0;1494;0;17840;0;804;23105;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;1086;
20223;1086;1272000000;102364;BILD am SONNTAG Gesamt;;Berlin;1;;So;11;648125;622814;672170;100159;0;0;622188;161250;18085;0;43632;25311;0;0;6197;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;8791;;;
20223;1845;1272010000;102365;BILD am SONNTAG Nielsen 1;;Berlin;1;;So;10;86966;86115;120273;0;0;0;116730;32551;39;0;1897;851;0;0;756;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1470;1272020000;102366;BILD am SONNTAG Nielsen 2;;Essen;1;;So;10;92735;92653;126004;0;0;0;119802;32532;27;0;5356;82;0;0;737;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1482;1272030000;102367;BILD am SONNTAG Nielsen 3 a;;Frankfurt/Main;1;;So;10;103336;103204;130883;0;0;0;107865;25996;17;0;21318;132;0;0;1551;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1472;1272040000;102368;BILD am SONNTAG Nielsen 3 b;;Esslingen;1;;So;10;71767;71762;91416;0;0;0;90247;18943;3;0;455;5;0;0;706;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1615;1272050000;102369;BILD am SONNTAG Nielsen 4;;München;1;;So;10;92915;92794;129023;0;0;0;115772;35597;30;0;12589;121;0;0;511;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;1488;1272060000;102370;BILD am SONNTAG Nielsen 5,6,7;;Berlin;1;;So;10;57004;55989;74571;0;0;0;70278;15631;129;0;1213;1015;0;0;1936;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;9225;1273000010;102541;BILD/B.Z. Deutschland-Gesamt;davon ePaper;Berlin;1;;Mo-Sa;12;228732;169072;228732;1410;0;0;568;0;166570;0;524;59660;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;7110;
20223;7110;1273000010;102541;BILD/B.Z. Deutschland-Gesamt;;Berlin;1;;Mo-Sa;11;1251704;1187291;1499031;112512;0;0;1327915;469997;174161;0;42700;64413;0;0;6062;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;9225;;;
20223;10870;1273000110;104190;BILD/B.Z. Deutschland-Ost-Gesamt;davon ePaper;Berlin;1;;Mo-Sa;10;52218;45186;52218;111;0;0;57;0;45018;0;0;7032;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;7092;
20223;7092;1273000110;104190;BILD/B.Z. Deutschland-Ost-Gesamt;;Berlin;1;;Mo-Sa;10;300748;291227;348313;45167;0;0;294273;96622;46495;0;1914;9521;0;0;3161;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10870;;;
20223;10871;1273000150;104763;BILD/B.Z. Deutschland-West-Gesamt;davon ePaper;Berlin;1;;Mo-Sa;10;79305;72273;79305;111;0;0;57;0;72105;0;0;7032;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;9876;
20223;9876;1273000150;104763;BILD/B.Z. Deutschland-West-Gesamt;;Berlin;1;;Mo-Sa;10;946671;936417;1286095;86862;0;0;1142459;413471;79049;0;41518;10254;0;0;5258;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10871;;;
20223;7095;1273000210;104185;BILD/B.Z. Berlin-Brandenburg-Gesamt;;Berlin;1;;Mo-Sa;10;131503;123513;135377;20816;0;0;109328;40096;32209;0;1256;7990;0;0;2357;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10869;;;
20223;10869;1273000210;104185;BILD/B.Z. Berlin-Brandenburg-Gesamt;davon ePaper;Berlin;1;;Mo-Sa;10;38579;31547;38579;111;0;0;57;0;31379;0;0;7032;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;7095;
20223;7096;1273000220;104187;BILD/B.Z./B.Z. am Sonntag Berlin-Brandenburg-Ges.;;Berlin;1;;Mo-Sa+So;10;195874;179725;172759;33597;0;0;131799;47972;61044;0;1257;16149;0;0;3865;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;10873;;;
20223;10873;1273000220;104187;BILD/B.Z./B.Z. am Sonntag Berlin-Brandenburg-Ges.;davon ePaper;Berlin;1;;Mo-Sa+So;10;74952;60320;74952;222;0;0;142;0;59956;0;0;14632;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;7096;
20223;3673;1274000006;102375;BILD DEUTSCHLAND Sonder-Ausgabe;Mariä Himmelfahrt;Berlin;1;;;10;880075;876161;1285345;90048;0;0;1141307;401042;4216;0;41632;3914;0;0;4228;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
20223;12185;1274000010;105548;BILD DEUTSCHLAND Sonder-Ausgabe Weltkindertag;;Berlin;1;;;10;965944;961838;1361255;93181;0;0;1214232;391262;3980;0;41707;4106;0;0;4049;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;;;;;
