Corpus;Sigle;Titel;von_;bis_;von;bis;Lizenz;Stadt;Region;National;Leitmedium
W3;rsw;Rundschau für den Schwäbischen Wald;;;2014;2022;NA;Gaildorf;BW;;
W3;rue;Rüsselsheimer Echo;;;2015;2022;NA;Rüsselsheim am Main;NW;;
W3;sbn;Salzburger Nachrichten;;;2001;2022;NA;;;AT;
W3;smp;Solinger Morgenpost;;;2013;2022;NA;Solingen;NW;;
W4;bkr;Bersenbrücker Kreisblatt;;;2012;2019;NA;Bersenbrück;NI;;
W4;sta;Der Standard;;;2000;2022;NA;;;AT;
W4;tsp;Der Tagesspiegel;;;2000;2022;NA;;;DE;
W4;fpc;Freie Presse;;;2011;2022;NA;Chemnitz;SN;;
W4;giz;Giessener Anzeiger;;;2004;2022;NA;Gießen;HE;;
W4;haa;Hamburger Abendblatt;;;1999;2022;NA;Hamburg;HH;;
W4;hdz;Handelszeitung;;;1992;2022;NA;;;DE;
W4;mib;Mittelbayerische Zeitung;;;2014;2022;NA;Regensburg;BY;;
W4;oon;Oberösterreichische Nachrichten;;;2001;2022;NA;Linz;AT;;
W4;otz;Ostthüringer Zeitung;2000;2012;2017;2022;NA;Gera;TH;;
W4;rga;Reutlinger General-Anzeiger;;;2007;2022;NA;Reutlingen;BW;;
W4;rvz;Rieder Volkszeitung;;;2013;2022;NA;Ried;AT;;
W4;saz;Saale-Zeitung;;;2011;2022;NA;Bad Kissingen;BY;;
W4;sbz;Saarbrücker Zeitung;;;2000;2022;NA;Saarbrücken;SL;;
W4;sze;Sächsische Zeitung;;;2000;2022;NA;Dresden;SN;;
W4;scz;Schwäbische Zeitung;;;2011;2022;NA;Ravensburg;BW;;
W4;sct;Schweinfurter Tagblatt;;;2013;2022;NA;Schweinfurt;BY;;
W4;svz;Schweriner Volkszeitung;;;2004;2022;NA;Schwerin;BB;;
W4;soa;Sonntag Aktuell;;;2004;2016;NA;Stuttgart;BW;;
W4;stn;Stuttgarter Nachrichten;;;2004;2016;NA;Stuttgart;BW;;
