Datum,Teilnehmer,Thema,sheet_name,Ort
2018-05-05 00:00:00,80,Von Hiroshima und Nagasaki zum Atomwaffenverbot,Table 1,Denkmal im Hiroshima-Nagasaki Park / Aachener Weiher
2018-09-29 00:00:00,50-100,"Tierrechte, vegane Ernährung u.
Lebensweise",Table 1,Domplatte
2018-03-17 00:00:00,120,# tarifdeluxe-Weniger ist Wahnsinn,Table 1,Leo-Amann-Park
2018-03-17 00:00:00,100,Die Lager der Frauen im Iran,Table 1,"Schildergasse 57 (neben
Antoniterkirche)"
2018-03-21 00:00:00,1000,"Tarifrunde ""Öffentlicher Dienst""",Table 1,Scheidtweiler Str. 4-38
2018-03-21 00:00:00,100,"Tarifrunde ""Öffentlicher Dienst""",Table 1,Hans-Böckler-Platz
2018-03-21 00:00:00,250,"Tarifrunde ""Öffentlicher Dienst""",Table 1,"Friedrich-Ebert-Platz,
Leverkusen"
2018-03-18 00:00:00,10-20,Democracy under pressure,Table 1,Albert-Magnus-Platz
2018-04-14 00:00:00,500,March for Science,Table 1,Rudolfplatz- Westseite
2018-03-15 00:00:00,50-100,"Stoppt die Invasion in Afrin/Syrien-
Nein zum Krieg",Table 1,Bahnhofsvorplatz
2018-03-16 00:00:00,,,Table 1,
2018-03-22 00:00:00,50-100,"Stoppt die Diskriminierung der kurdischen
Künstlerverband",Table 1,Bahnhofsvorplatz
2018-03-30 00:00:00,30,Gegen die Zwangssedierung an Karfreitag,Table 1,Keupstr./ Dünnwalder Str.
21.03.2018,30,Geldzurückbehaltung,Table 1,Siegburger Str. 229 A
2018-04-10 00:00:00,10000,Tarifrunde Öffentlicher Dienst,Table 1,Ottoplatz
2018-04-10 00:00:00,2000,Tarifrunde Öffentlicher Dienst,Table 1,Alter Markt
2018-04-10 00:00:00,1500,Tarifrunde Öffentlicher Dienst,Table 1,Hans-Böckler-Platz
2018-04-10 00:00:00,1500,Tarifrunde Öffentlicher Dienst,Table 1,Willy-Brandt-Platz
2018-03-19 00:00:00,k-A.,Warnstreik,Table 1,Willy-Brandt-Platz
2018-03-21 00:00:00,300,"Kurdisches Neujahrsfest, Newroz",Table 1,Rathausvorplatz- Leverkusen
2018-03-20 00:00:00,100,AFRIN - SYR,Table 1,Bahnhofsvorplatz
2018-03-19 00:00:00,30-40,"Tierrechte, vegane Ernährung u.
Lebensweise",Table 1,Wallrafplatz
2018-04-29 00:00:00,50,Klimaschutz,Table 1,Roncalliplatz
2018-03-20 00:00:00,150-200,Newroz,Table 1,"Rudolfplatz- Westseite,
Heumarkt"
