Datum,Ende,Ort,Thema
2019-04-28,2019-04-28,Erste Schlachteforte (unten an der Weser),Sterben im Mittelmeer
2019-04-27,2019-04-27,Marktplatz ,Aufzug und Informationsveranstaltung zum Thema Tierschutz
2019-04-28,2019-04-28,Marktplatz,Pro Europa Versammlung
2019-04-29,2019-04-29,Hastedt bis Gröpelingen,"Arbeiter ,Ihr müsst die Welt verändern"
2019-04-29,2019-04-29,Marktplatz,Bremer Montagsdemonstration
2019-04-30,2019-04-30,Woltmershauser Str. 71,Erhaltung des Polizeireviers
2019-04-30,2019-04-30,Bahnhofsvorplatz,Brennende Aktion Kerzen/Brich das Schweigen/7000 Stimmen für Hunger Streikende
2019-05-01,2019-05-01,Hbf zum Theater am Goetheplatzt,Tag der Arbeit
2019-05-02,2019-05-02,Marktplatz,Donnerstagsmahnwache
2019-05-03,2019-05-03,Marktplatz,Demonstration gegen den Klimawandel
2019-05-03,2019-05-03,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-05-03,2019-05-03,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-05-04,2019-05-04,Kastanienwäldchen (Ecke Herdentorsteinweg/Am Wall),Veganismus
2019-05-04,2019-05-04,Oberer Domshof,Palästinamahnwache
2019-05-04,2019-05-04,R.Hilferding-Marktplatz,Für eine freie Wissenschaft
2019-05-04,2019-05-04,HBF Richtung Marktplatz,Ramadanlauf
2019-05-04,2019-05-04,Am Brill,Solidarität mit Syrien
2019-05-05,2019-05-05,Markplatz,Pro Europa Versammlung
2019-05-05,2019-05-05,Gedenkstätte Bahrsplatte,Jahrestag der Befreiung von Krieg und Faschismus
2019-05-07,2019-05-07,Bahnhofsvorplatz,Isolation durchbrechen und Faschismus zerschlagen
2019-05-07,2019-05-07,Marktplatz,Wahlkundgebung der CDU
2019-05-07,2019-05-07,Marktplatz,gg Diskriminierung und für Gleichstellung behinderter Menschen
2019-05-08,2019-05-08,Marktplatz,Erinnerung an Brfreiung von Faschismus und Krieg
2019-05-09,2019-05-09,Oberer Domshof,Informationsveranstaltung zum Gesundheits- und Sozialbereich und gewerkschaftlichem Engagement mit Kaffewagenaktion
2019-05-09,2019-05-09,Grasmarkt,Donnerstagsmahnwache
2019-05-10,2019-05-10,Buntentorsdeich,"Informationsveranstaltung über die zukünftige Verkehrssituation am Buntentorsdeich, falls es zum Bau der A281 2-2 kommt."
2019-05-10,2019-05-10,Bahnhofsvorplatz,Demonstration gegen den Klimawandel
2019-05-10,2019-05-10,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-05-10,2019-05-10,Gerhard-Rohlfs-Str./Breite Str.,Nordbremer Bürger gegen den Krieg
2019-05-10,2019-05-10,Am Brill / Richtung Roland,Tierschutz/ Massentierhaltung
2019-05-10,2019-05-10,Marktplatz,Kirchenstaat? Nein danke. 100 Jahre  Verfassungsbruch sind genug
2019-05-11,2019-05-11,Bibliothekspaltz / Gröpelingen,Wahlkundgebung der Partei DIE LINKE
2019-05-11,2019-05-11,Goetheplatz,Menschenrechtsverletzungen im Iran
2019-05-11,2019-05-11,Oberer Domshof,Palästinamahnwache
2019-05-11,2019-05-11,Friedrich-Ebert-str./ Pappelstr. ,Umzug der Marxistisch-Leninistischen Partei Deutschlands
2019-05-12,2019-05-12,Domshof,Pro Europa Versammlung
2019-05-13,2019-05-13,Merktplatz,"Kinderbetreunungssituation, ausgelöst durch ungleiches Tarifentgelt bei KiTa Bremen"
2019-05-13,2019-05-13,Marktplatz,Bremer Montagsdemonstration
2019-05-14,2019-05-14,Am Brill  Richtung Marktplatz,Streik private und öffentliche Banken
