Datum,Ende,Ort,Thema
2021-03-20,2021-03-20,Marktplatz,Mobile Mahnwache
2021-03-20,2021-03-20,Grasmarkt,Frieden im Nahen Osten
2021-03-20,2021-03-20,Marktplatz,Befreiung der politischen Gefangen in Belarus. Solidarität mit den friedlichen Protesten in Belarus.
2021-03-22,2021-03-22,Kraftwerk Hafen,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-22,2021-03-22,Marktplatz,Übergabe eines offenen Briefes an Senatorin Frau Dr. Schilling
2021-03-22,2021-03-22,Kraftwerk Hastedt,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-23,2021-03-23,ZBV-Fläche,Prostitution in der Bürgermeister-Smidt-Straße bzw. Duckwitzstraße
2021-03-23,2021-03-23,Werk-Hemelingen,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-24,2021-03-24,ZBV-Fläche,Unterfinanzierung der Hochschulen. Nichteinhalten des Wissenschaftsplans 2025
2021-03-24,2021-03-24,Aufzug Mercedes-Benz Tor 1 bis Tor 8,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-25,2021-03-25,Airbus-Allee 1,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-25,2021-03-25,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-03-25,2021-03-25,Marktplatz,Solidarität mit Belarus in Bremen - zusammen mit dem Bremer Senat
2021-03-25,2021-03-25,Marktplatz,Solidarität mit Belarus in Bremen
2021-03-26,2021-03-26,Senator-Borttscheller-Straße 1,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-26,2021-03-26,Einfahrt Senator-Borttscheller-Straße ,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-26,2021-03-26,Amerikaring,Nicht nur mit Worten. Wir wollen einen Lohn zum Leben
2021-03-26,2021-03-26,Contrescarpe 72,Kürzungen und Einsparungen der Gesundheit Nord
2021-03-26,2021-03-26,Gerhard-Rohlfs-Straße,954. Friedenskundgebung
2021-03-27,2021-03-27,Marktplatz,Schutz der Istanbul-Konvention
2021-03-27,2021-03-27,Unser-Lieben-Frauen-Kirchhof u. Schoppensteel,Tierrechte
2021-03-27,2021-03-27,Aufzug HBF-Marktplatz,Der Tag der Besatzung von Balochistan
2021-03-27,2021-03-27,Platz rechts neben der Glocke,Mobile Mahnwache
2021-03-27,2021-03-27,Grasmarkt,Frieden im Nahen Osten
2021-03-29,2021-03-29,Migrationsamt,Wir sind gekommen um in Bremen zu bleiben - we came to stay in Bremen
2021-04-01,2021-04-01,Marktplatz,Hände weg von Shingal
2021-04-01,2021-04-01,Gerhard-Rohlfs-Straße,Friedensmahnwache
2021-04-01,2021-04-01,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-04-03,2021-04-03,Grasmarkt,Alt sein heißt nicht stumm sein - Wir stehen hier mit Maske und halten Abstand für die gleichen Rechte aller Menschen - Die Demokratie ist weiblich
2021-04-03,2021-04-03,Aufzug HBF - Marktplatz,Ostermarsch
2021-04-05,2021-04-05,Bürgerweide,Demokratie im Jahr 2021 - was bedeuten die Grundrechte noch in Zeiten Corona
2021-04-05,2021-04-05,Bürgerweide,Demokratie im Jahr 2021 - was bedeuten die Grundrechte noch in Zeiten Corona
2021-04-05,2021-04-05,Bürgerweide,Solidarisch gegen Verschwörungsideologien und Corona
2021-04-06,2021-04-06,Lindenhof,Gedenken an Mehmet Kubasik und Halit Yozgat
2021-04-06,2021-04-06,Gerhard-Rohlfs-Straße,Friedensmahnwache
2021-04-08,2021-04-08,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-04-09,2021-04-09,Marktplatz,Public Mic/Sprachrohr Bremen
2021-04-09,2021-04-09,Gerhard-Rohlfs-Straße,955. Friedenskundgebung
2021-04-10,2021-04-10,Marktplatz,3 Wochen bezahlte Pause statt dritter Welle
2021-04-10,2021-04-10,Marktplatz,Befreiung der politischen Gefangen in Belarus. Solidarität mit den friedlichen Protesten in Belarus.
2021-04-10,2021-04-10,Aufzug,Klimaspaziergang
2021-04-10,2021-04-10,Grasmarkt,Frieden im Nahen Osten
2021-04-12,2021-04-12,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2021-04-13,2021-04-13,Gerhard-Rohlfs-Straße,Friedensmahnwache
2021-04-15,2021-04-15,Platz rechts neben der Glocke,BAMF-Prozess
2021-04-15,2021-04-15,Platz rechts neben der Glocke,"Beförderung eines Senatsbeschlusses zur zusammenlegung der Haltestellen, damit das Umsteigen leichter wird als es jetzt ist"
2021-04-15,2021-04-15,Marktplatz,"Gegen Rechtsextremismus, Rassismus und Antisemitismus"
2021-04-15,2021-04-15,Marktplatz,BVerfG Urteil zum Mietendeckel
2021-04-15,2021-04-15,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-04-16,2021-04-16,Gerhard-Rohlfs-Straße,956. Friedenskundgebung
2021-04-16,2021-04-16,Osterdeich Höhe Kunsttunnel,Public Mic/Sprachrohr Bremen
2021-04-16,2021-04-16,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2021-04-17,2021-04-17,Grasmarkt,Frieden im Nahen Osten
2021-04-17,2021-04-17,Bahnhofsvorplatz,Solidarität mit Syrien
2021-04-17,2021-04-17,Bürgerweide,ECHSit - Antiverschwurbelte Aktion
2021-04-17,2021-04-17,Bürgerweide,Es Reicht – Wir gestalten unsere Zukunft
2021-04-17,2021-04-17,Marktplatz,Solidarität mit den Menschen in Myanmar und Trauer um die Toten ihres Kampfes für Demokratie
2021-04-17,2021-04-17,Oberer Domshof,Rassismus gegen Roma stoppen
2021-04-20,2021-04-20,Gerhard-Rohlfs-Straße,Friedensmahnwache
2021-04-20,2021-04-20,Rudolf-Hilferding-Platz,Warnstreik
2021-04-22,2021-04-22,Marktplatz,Befreiung der politischen Gefangen in Belarus. Solidarität mit den friedlichen Protesten in Belarus.
2021-04-22,2021-04-22,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-04-23,2021-04-23,Gerhard-Rohlfs-Straße,957. Friedenskundgebung
2021-04-24,2021-04-24,Hemmstraße - Bürgerweide,Klimaspaziergang
2021-04-24,2021-04-24,Marktplatz,Wo ist wirklich Hoffnung in 2021?
2021-04-24,2021-04-24,Schoppensteel,Cuba-Solidarität gegen die Blockade Cubas
2021-04-24,2021-04-24,Marktplatz,Demonstration zum Zwecke der risikofreien Ausübung von Fitness und Gesundheitssport während Corona
2021-04-24,2021-04-24,Grasmarkt,Frieden im Nahen Osten
2021-04-24,2021-04-24,Marktplatz,Befreiung der politischen Gefangen in Belarus. Solidarität mit den friedlichen Protesten in Belarus.
2021-04-26,2021-04-26,Fahrraddemo,"Das Virus geht nicht nachts spazieren, sondern tagsüber arbeiten"
2021-04-27,2021-04-27,Am Wall 198,Solidaritätsmahnwache
2021-04-29,2021-04-29,Rasenfläche vor dem Überseemuseum,Public Mic/Sprachrohr Bremen
2021-04-29,2021-04-29,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-04-30,2021-04-30,Marktplatz,"Klimaschutz ist unser Recht - nachbessern, aber richtig"
2021-04-30,2021-04-30,Aufzug,Gedenkveranstaltung für die Künste
2021-04-30,2021-04-30,Goethe-Platz,Menschenrechtsverletzungen an GewerkschafterInnen
2021-04-30,2021-04-30,Gerhard-Rohlfs-Straße,958. Friedenskundgebung
2021-04-30,2021-04-30,"Fuß-, Geh- und Fahrradweg der Ostertorstraße",Keine Kündigungen & Zwangsräumungen durch den Wohnungskonzern Adler!
2021-04-30,2021-04-30,Aufzug,Take back the night - Reclaim spaces and fight
2021-05-01,2021-05-01,Bürgerweide,1. Mai Demonstration zum Tag der Arbeit
2021-05-01,2021-05-01,Aufzug,1. Mai Demonstration
2021-05-01,2021-05-01,Aufzug,1. Mai - Internationaler Kampftag der Arbeiterklasse
2021-05-01,2021-05-01,Aufzug,Gegen den Wechsel der Geburtshilfe und Gynäkologie an das Klinikum Bremen Mitte
2021-05-01,2021-05-01,Domshof,Wir stehen hier mit Maske und halten Abstand für die gleichen Rechte aller Menschen in unserer Demokratie – DIE DEMOKRATIE ist weiblich
2021-05-01,2021-05-01,Goethe-Platz,Dekolonialer 1. Mai
2021-05-02,2021-05-02,Überseepromenade,Europäischer Protesttag zur Gleichstellung von Menschen mit Behinderung - Bring' Deine Stimme auf die Straße
2021-05-02,2021-05-02,Osterdeich,Für einen solidarischen Shutdown
2021-05-03,2021-05-03,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2021-05-04,2021-05-04,Bürgerweide,Warnstreik SRB
2021-05-05,2021-05-05,Aufzug Marktplatz - Osterdeich,Solidarität mit Geflüchteten – Ohne Menschenrechte alles sinnlos – Keine Flüchtlingslager an den EU-Außengrenzen
2021-05-05,2021-05-05,Berliner Freiheit,Deine Stimme für Inklusion - Ich lebe gern - mach mit!
2021-05-05,2021-05-05,Marktplatz,Europäischer Aktionstag gegen Diskriminierung und für Gleichstellung behinderter Menschen
2021-05-06,2021-05-06,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-05-07,2021-05-07,Gerhard-Rohlfs-Straße,959. Friedenskundgebung
2021-05-07,2021-05-07,Marktplatz,Solidarität mit Kolumbien
2021-05-08,2021-05-08,Bahnhofsvorplatz,Schluss mit der türkischen Invasion in Südkurdistan
2021-05-08,2021-05-08,Aufzug,Klimaspaziergang
2021-05-08,2021-05-08,Aufzug,8. Mai - Tag der Befreiung vom Faschismus
2021-05-08,2021-05-08,Autokorso Bürgerweide - Am Brill - Osterdeich,Für einen gerechten Frieden im Nahen Osten
2021-05-08,2021-05-08,Ulrichsplatz,verfolgte Journalisten
2021-05-08,2021-05-08,Grasmarkt,Frieden im Nahen Osten
2021-05-09,2021-05-09,Aufzug,Lichterspaziergang in Gedenken an unsere verstorbenen Mitglieder
2021-05-09,2021-05-09,Leibnitzpark,Gedenken an ein geliebtes Mitglieder der kurdischen Community
2021-05-09,2021-05-09,KZ-Gedenkstätte Bahrsplatte,76. Jahrestag der Befreiung von Faschismus und Krieg
2021-05-10,2021-05-10,Fahrraddemo,"Ausgangssperre? Kleine Wohnungen, kein Balkon, euren Abstand können wir uns nicht leisten"
2021-05-11,2021-05-11,Sielwallfähranleger am Osterdeich,Tag der Pflege
2021-05-12,2021-05-12,Rasenfläche vor dem Überseemuseum,Public Mic/Sprachrohr Bremen
2021-05-12,2021-05-12,Contrescarpe 72,Tag der Pflege
2021-05-12,2021-05-12,Bredenstraße/Martinistraße,Tarifverhandlungen
2021-05-12,2021-05-12,Marktplatz,Tag der Pflege / Gedenken an die verstorbenen Kollegen im Gesundheitswesen
2021-05-12,2021-05-12,Marktplatz,Wald of Care
2021-05-13,2021-05-13,Domshof,Zustand in Palästina & Verletzung der Menschenrechte
2021-05-13,2021-05-13,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-05-14,2021-05-14,Gerhard-Rohlfs-Straße,960. Friedenskundgebung
2021-05-15,2021-05-15,Bürgerweide,Es Reicht – Wir gestalten unsere Zukunft
2021-05-15,2021-05-15,Marktplatz,Kundgebung anlässlich der jüngsten Bombenangriffe auf eine Schule in Kabul
2021-05-15,2021-05-15,Wiese auf dem Peterswerder Höhe Altes Sportamt,Solidaritätsversammlung zu den Aktivitäten von Sea-Watch
2021-05-15,2021-05-15,Grasmarkt,Frieden im Nahen Osten
2021-05-16,2021-05-16,Domshof,Solidarität für Kolumbien
2021-05-16,2021-05-16,Marktplatz,Situation in Israel
2021-05-18,2021-05-18,Airbusallee 1,Aktionstag: Rote Karte
2021-05-20,2021-05-20,Bahnhofsvorplatz,Schluss mit den Repressalien gegen Kurden
2021-02-20,2021-02-20,Rudolf-Hilferding-Platz,Tarifverhandlungen Immobilien Bremen
2021-05-20,2021-05-20,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-05-21,2021-05-21,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2021-05-21,2021-05-21,Domshof,Solidarität gegen Gewalt in Kolumbien
2021-05-21,2021-05-21,Gerhard-Rohlfs-Straße,961. Friedenskundgebung
2021-05-22,2021-05-22,Marktplatz,Befreiung der politischen Gefangen in Belarus. Solidarität mit den friedlichen Protesten in Belarus.
2021-05-22,2021-05-22,Bahnhofsvorplatz,Gegen die Wiederwahl von Baschar Assad als Präsident von Syrien
2021-05-22,2021-05-22,Aufzug,Klimaspaziergang
2021-05-22,2021-05-22,Grasmarkt,Frieden im Nahen Osten
2021-05-24,2021-05-24,Osterdeich,Solidarität mit Palästina
2021-05-25,2021-05-25,Marktplatz,Protest gegen terroristische Handlungen von Lukaschenko
2021-05-27,2021-05-27,Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-05-28,2021-05-28,Gerhard-Rohlfs-Straße,962. Friedenskundgebung
2021-05-28,2021-05-28,Aufzug,Gemeinsam für bessere Wohnbedingungen bei Vonovia!
2021-05-28,2021-05-28,Aufzug,Eine Prozession für die Künste
2021-05-29,2021-05-29,Goetheplatz,Gegen Ableismus
2021-05-29,2021-05-29,Marktplatz,Es gibt Zeichen von Hoffnung in Zeiten wie diesen!
2021-05-29,2021-05-29,Domshof,Solidarität gegen Gewalt in Kolumbien
2021-05-29,2021-05-29,Bahnhofsvorplatz,Illegaler Welpenhandel
2021-05-29,2021-05-29,Marktplatz,Festnahme des oppositionellen Roman Protasewitsch. Protest gegen die belarussische Regierung
2021-05-29,2021-05-29,Marktplatz,Für die politischen Gefangenen in Spanien
2021-05-29,2021-05-29,Grasmarkt,Frieden im Nahen Osten
2021-06-02,2021-06-02,"Hollerallee 99, 28215 Bremen",Kinderrechte an Schulen
2021-06-02,2021-06-02,"Hollerallee 99, 28215 Bremen","Echsit, Impfen ist Liebe"
2021-06-02,2021-06-02,Rasenfläche vor dem Überseemuseum,Public Mic/Sprachrohr Bremen
2021-06-03,2021-06-03,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-06-04,2021-06-04,Gerhard-Rohlfs-Straße,963. Friedenskundgebung
2021-06-04,2021-06-04,Bahnhofsvorplatz,"Nein zur türkischen Besatzung in Süd-Kurdistan, Frieden statt Krieg"
2021-06-05,2021-06-05,Fahrraddemonstration,Autobahnausbau stoppen! Sozial- und klimagerechte Mobilitätswende Jetzt!
2021-06-05,2021-06-05,Aufzug,Klimaspaziergang
2021-06-05,2021-06-05,Grasmarkt,Alt sein heißt nicht stumm sein - Wir stehen hier mit Maske und halten Abstand für die gleichen Rechte aller Menschen - Die Demokratie ist weiblich
2021-06-05,2021-06-05,Osterdeichwiesen,Anerkennung der freien Tanzszene Bremens als viraler Beitrag zur allgemeinen Gesundheitsfürsorge
2021-06-05,2021-06-05,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-06-05,2021-06-05,Fahrraddemonstration,Verkehrswende
2021-06-06,2021-06-06,Marktplatz,Gute Botschaft Gottes
2021-06-07,2021-06-07,Bremer Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2021-06-10,2021-06-10,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-06-11,2021-06-11,Gerhard-Rohlfs-Straße,964. Friedenskundgebung
2021-06-11,2021-06-11,Henrich-Focke-Straße,Milerzeugnispreis und seine Folgen
2021-06-11,2021-06-11,Marktplatz,50-tägiges Bestehen des Klimacamps
2021-06-12,2021-06-12,Ulrichsplatz,Aktuelle Fälle von Menschenrechtsverletzungen
2021-06-12,2021-06-12,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-06-12,2021-06-12,Platz rechts neben der Glocke,Freiheit - Religion
2021-06-12,2021-06-12,Am Speicher XI,Vollständige Ausfinanzierung des Wissenschaftsplanes 2025
2021-06-12,2021-06-12,Fahrraddemonstration,"Kürzungen im Wissenschaftsbereich, Ausfinanzierung der Universitäten, Ausfinanzierung Wissenschaftsplan"
2021-06-12,2021-06-12,Bahnhofsvorplatz Vegesack,"Gedenkveranstaltung für A. Özüdogru, Ismael Yasar und Theodoros Boulgarides"
2021-06-12,2021-06-12,Aufzug,Schulter an Schulter gegen Faschismus und Krieg
2021-06-13,2021-06-13,Bürgerpark,Platz für Sorge
2021-06-13,2021-06-13,Marktplatz,Gute Botschaft Gottes
2021-06-14,2021-06-14,Ziegenmarkt,"Klimakrise - Aufklärung, Aufmerksamkeit"
2021-06-14,2021-06-14,Bahnhofsvorplatz,"Solidarität mit denen, die sich dem Kolonialismus in Kurdistan widersetzen"
2021-06-15,2021-06-15,"Hollerallee 79, 28209 Bremen",Geburtsurkunden für alle - gegen rassistische Behördenpraxis
2021-06-16,2021-06-16,Vor dem Gesundheitsamt Bremen,Gesundheitsministerkonferenz
2021-06-17,2021-06-17,Marktplatz,Patriarchat wegatnzen
2021-06-17,2021-06-17,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-06-17,2021-06-17,Bremer Marktplatz,Bewaffneter Angriff auf das Parteibüro in Izmir
2021-06-18,2021-06-18,Am Ohlenhof,Todestag von Mohamed Idrissi
2021-06-18,2021-06-18,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2021-06-18,2021-06-18,Gerhard-Rohlfs-Straße,965. Friedenskundgebung
2021-06-18,2021-06-18,Marktplatz,Internationale Kampagne - Pinera an den intern. Gerichtshof in Den Haag
2021-06-19,2021-06-19,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-06-19,2021-06-19,Platz rechts neben der Glocke,Freiheit für alle politischen Gefangenen
2021-06-19,2021-06-19,Bremer Marktplatz,Bewaffneter Angriff auf das Parteibüro in Izmir
2021-06-20,2021-06-20,Marktplatz,Gute Botschaft Gottes
2021-06-22,2021-06-22,Grasmarkt,Tag der Daseinsvorsorge - Finanzierung der Kommunen sichern
2021-06-22,2021-06-22,Marktplatz,Bannertour 2021
2021-06-22,2021-06-22,Marktplatz,Forderung zur Rettung der Kultur- und Veranstaltungswirtschaft & Mahnwache im Rahmen der bundesweiten Night of Light
2021-06-22,2021-06-22,Marktplatz,80 Jahrestag des Überfalls auf die Sowjetunion
2021-06-22,2021-06-22,"Hollerallee 79, 28209 Bremen",Geburtsurkunden JETZT - gegen rassistische Behördenpraxis
2021-06-23,2021-06-23,Vor den Domtreppen,Beendigung der Bloackade Cubas
2021-06-23,2021-06-23,Rudolf-Hilferding-Platz,Forderungsübergabe
2021-06-24,2021-06-24,Marktplatz,politische Lage in Lateinamerika
2021-06-24,2021-06-24,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-06-25,2021-06-25,Gerhard-Rohlfs-Straße,966. Friedenskundgebung
2021-06-26,2021-06-26,Marktplatz,Tierrechte
2021-06-26,2021-06-26,Ulrichsplatz,Internationaler Tag der vereinten Nationen zur Unterstützung der Opfer von Folter
2021-06-26,2021-06-26,Marktplatz - Obernstraße - Hanseatenhof,Warnstreim Tarifrunde Einzelhandel
2021-06-26,2021-06-26,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-06-27,2021-06-27,Marktplatz,Gute Botschaft Gottes
2021-06-27,2021-06-27,Osterdeich Fähranleger,In Gedenken an Süleyman Tasköprü
2021-06-27,2021-06-27,Fahrraddemonstration,Gedenken an die Verschwundenen in Kolumbien
2021-06-27,2021-06-27,Marktplatz,Befreiung der politischen Gefangenen
2021-06-29,2021-06-29,Marktplatz,Entgeltgleichheit in der Straßenreinigung Bremen GmbH
2021-07-01,2021-07-01,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-07-02,2021-07-02,Marktplatz,Gedenken an das Massaker von Sivas
2021-07-03,2021-07-03,"Osterdeich, Schlachte und Weser",Weser-Welle für den Klimaschutz - mehr Mut zur Wende!
2021-07-03,2021-07-03,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-07-03,2021-07-03,Hollerallee 75,Protest über die BEK
2021-07-03,2021-07-03,Grasmarkt,Alt sein heißt nicht stumm sein - Wir stehen hier mit Maske und halten Abstand für die gleichen Rechte aller Menschen - Die Demokratie ist weiblich
2021-07-03,2021-07-03,Platz rechts neben der Glocke,"50. Geburtstag von Julian Assange, Demonstration zur Erwirkung der Freilassung aus der Haft"
2021-07-03,2021-07-03,Bahnhofsvorplatz,Tierrechte
2021-07-04,2021-07-04,Aufzug Am Ziegenmarkt - Marktplatz,Freiheit für Ella/UP 1
2021-07-05,2021-07-05,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2021-07-06,2021-07-06,Marktplatz,Entgeltgleichheit in der Bremer Straßenreinigung
2021-07-07,2021-07-07,Grünfläche an der Hollerallee,aktuelle Hallensituation
2021-07-07,2021-07-07,Marktplatz,Tanzaktion
2021-07-08,2021-07-08,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-07-10,2021-07-10,Aufzug,Alles für Alle - und zwar Umsonst
2021-07-10,2021-07-10,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-07-15,2021-07-15,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-07-16,2021-07-16,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-07-16,2021-07-16,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2021-07-16,2021-07-16,Vor dem Weserstadion,Solidarität mit der Wiesenhofbloackade. Gemeinsam gegen die Tierindustrie.
2021-07-17,2021-07-17,Grasmarkt vor den Treppen des Bremer Doms,Dringlichkeit der Klimakrise
2021-07-17,2021-07-17,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-07-17,2021-07-17,Sielwall,Sielwall bleibt bunt - mit uns!
2021-07-17,2021-07-17,Osterdeichwiesen - Am Brill - Osterdeichwiesen,Für Freiheit und Grundrechte
2021-07-17,2021-07-17,Marktplatz,Befreiung der politischen Gefangenen
2021-07-18,2021-07-18,Osterdeich,Freies Kuba
2021-07-18,2021-07-18,Gumbinnenweg,Keine Klimaschutzsiedlung im Wildwald
2021-07-19,2021-07-19,Bahnhofsvorplatz,"Wir befürchten nicht die Rückkehr der Faschisten, sondern die Rückkehr der Faschisten in der Maske der Demokratie"
2021-07-21,2021-07-21,Bahnhofsvorplatz,Gedenktag für verstorbene Drogenkonsument:innen
2021-07-22,2021-07-22,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-07-23,2021-07-23,Sielwall,Sielwall bleibt bunt - mit uns!
2021-07-23,2021-07-23,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-07-24,2021-07-24,Ulrichsplatz,Menschenrechtler in Gefahr
2021-07-24,2021-07-24,Platz rechts neben der Glocke,Kampf gegen die Altersarmut
2021-07-24,2021-07-24,Am Dobben/Humboldtstraße,Prima-Klima im Viertel
2021-07-24,2021-07-24,Marktplatz,politische Kundgebung anlässlich der Bundestagswahl
2021-07-24,2021-07-24,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-07-25,2021-07-25,Weserdeich,Seenotrettung ist kein Verbrechen
2021-07-27,2021-07-27,Marktplatz,Stoppt das 'Kalte Verbot' der DKP! Unsere Solidarität gegen ihre Repression!
2021-07-28,2021-07-28,Violenstraße 24,"Menschenrechte für alle: Geburtsurkunden, angemessene Unterbringung und soziale Versorgung JETZT!"
2021-07-29,2021-07-29,Neustadtswallanlagen,Feminismus
2021-07-29,2021-07-29,Bremer Marktplatz,"Frieden, Versöhnung und Abrüstung"
2021-07-30,2021-07-30,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-07-31,2021-07-31,Rasenfläche vor dem Überseemuseum,Situation in Daraa
2021-07-31,2021-07-31,Neustadt Parkplätze Pappelstr. 84a,Re-Urbanisierung von Parkraum
2021-07-31,2021-07-31,Grasmarkt,Tanzaktion
2021-07-31,2021-07-31,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-08-01,2021-08-01,Bahnhofsvorplatz,Gute Botschaft Gottes
2021-08-02,2021-08-02,Marktplatz,Jahrestag: Genozid an den Eziden am 03.08.2014
2021-08-02,2021-08-02,Marktplatz,Probleme und Widersprüche in der Politik der Bundes- und Länderregierungen
2021-08-04,2021-08-04,Wallanlagen,Grüne Sicherheits- und Innenpolitik
2021-08-05,2021-08-05,Marktplatz,Mahnwache für Frieden Versöhnung und Abrüstung
2021-08-06,2021-08-06,Marktplatz,76. Jahrestag der Atombombenabwürfe auf Hiroshima und Nagasaki
2021-08-06,2021-08-06,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-08-07,2021-08-07,Marktplatz,Erläuterung des Wahlprogramms
2021-08-07,2021-08-07,Aufzug,Festival of Remberance and Celebration of Life African Masquarade Street Parade
2021-08-07,2021-08-07,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-08-07,2021-08-07,Grünfläche vor dem Überseemuseum,gegen die Belagerung von Zivilisten in der Stadt Daraa Syrien
2021-08-07,2021-08-07,Grasmarkt,Alt sein heißt nicht stumm sein - Wir stehen hier mit Maske und halten Abstand für die gleichen Rechte aller Menschen - Die Demokratie ist weiblich
2021-08-07,2021-08-07,Osterdeich Höhe Mozartstraße,Unterstützung Kolumbien
2021-08-08,2021-08-08,Bahnhosvorplatz,Gute Botschaft Gottes
2021-08-10,2021-08-10,Marktplatz,Tiertransporte
2021-08-11,2021-08-11,Marktplatz,Bundestagswahlveranstaltung
2021-08-12,2021-08-12,Marktplatz,Mahnwache für Frieden Versöhnung und Abrüstung
2021-08-13,2021-08-13,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-08-14,2021-08-14,Ulrichsplatz,Menschenrechtler in Gefahr
2021-08-14,2021-08-14,Aufzug,Prozession anlässlich des schiitischen Aschurefestes
2021-08-14,2021-08-14,Sielwall,Sielwall bleibt bunt - mit uns!
2021-08-14,2021-08-14,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-08-15,2021-08-15,Bahnhofsvorplatz,Menschenrechtsverletzung in Jammu und Kashmiri
2021-08-15,2021-08-15,Marktplatz,Gute Botschaft Gottes
2021-08-16,2021-08-16,Marktplatz,Bremen über die politischen Ziele zur Bundestagswahl 2021 informieren
2021-08-18,2021-08-18,Europahafen/Promenade Konsul-Smidt-Straße,Mehr Kultur und Musik für die Überseestadt
2021-08-19,2021-08-19,Marktplatz,Mahnwache für Frieden Versöhnung und Abrüstung
2021-08-20,2021-08-20,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-08-20,2021-08-20,Marktplatz,Protest gegen die Taliban
2021-08-20,2021-08-20,Aufzug HBF - Marktplatz,Schluss mit den Angriffen auf Shingal durch die türk. Armee
2021-08-20,2021-08-20,Bahnhofsvorplatz,Schluss mit den Angriffen auf Shingal
2021-08-20,2021-08-20,Domsheide vor Hausnummer 8,Rüstungshochburg Bremen
2021-08-21,2021-08-21,Aufzug HBF-Marktplatz-Goetheplatz,"Trans*Inter*Dyke*March - sicher, selbstbewusst, solidarisch"
2021-08-21,2021-08-21,Grasmarkt vor den Treppen des Bremer Doms,Frieden im Nahen Osten
2021-08-21,2021-08-21,Marktplatz,70. Jahre deutsch-indische Beziehungen und 75. indischer Unabhängigkeitstag
2021-08-21,2021-08-21,Marktplatz,Wer hat der gibt- Forderung nach Vermögenssteuer
2021-08-22,2021-08-22,,Ohne Kerosin nach Berlin
2021-08-22,2021-08-22,Bahnhofsvorplatz,Gute Botschaft Gottes
2021-08-24,2021-08-24,Vor dem Wochenmarkt Tenever,Gegen Rechts
2021-08-26,2021-08-26,Marktplatz,Mahnwache für Frieden Versöhnung und Abrüstung
2021-08-27,2021-08-27,Gerhard-Rohlfs-Straße,969. Friedenskundgebung
2021-08-27,2021-08-27,Goetheplatz,So schön kann Klimaschutz sein
