Datum,Uhrzeit,Ort,Thema,Teilnehmer,Straße,sheet_name
20.07.2019,10:00 - 13:00,Potsdam,Stadtspaziergang - Erinnerung an den deutschen Widerstand am 20.Juli 1944,50,Innenstadt Potsdam,2019
26.08.2019,08:00,Potsdam,We4Future-Klimacamp,50-100,Neuer Lustgarten,2019
02.07.2019,14:00 - 16:00,Potsdam,Mahnwache #FreeCarola,20,Vorplatz BRB-Tor,2019
10.07.2019,13:00 - 14:00,Potsdam,Klimaschutz,10,Am Kanal 47,2019
15.07.2019,10:00 - 14:00,Potsdam,Wahlkampfversammlung,50-100,Alter Markt,2019
18.08.2019,12:00 - 16:00,Potsdam,Gegen Rechtspopulismus und für eine befreite Gesellschaft,1000,Innenstadt Potsdam,2019
30.08.2019,11:00 - 18:00,Potsdam,Protestaktion für den Klimaschutz,3000,Innenstadt Potsdam,2019
06.10.2019,09:00 - 13:00,Potsdam,Mahn- und Gedenkfahrt für tödlich verunglückte Motorradfahrer,1000,Innenstadt Potsdam,2019
13.08.2019,15:00 - 15:45,Potsdam,11. Potsdamer Mauerlauf zum 58. Jahrestag des Mauerbaus,100-160,"Glienicker Brücke, weiter nach Berlin",2019
17.07.2019,13:00 - 14:00,Potsdam,Klimaschutz,5-10,Am Kanal 47,2019
24.07.2019,13:00 - 14:00,Potsdam,Klimaschutz,5-10,Am Kanal 47,2019
31.07.2019,13:00 - 14:00,Potsdam,Klimaschutz,5,Am Kanal 47,2019
18.08.2019,09:00 - 13:00,Potsdam,Radeln zur Coal&Boat,60-200,Innenstadt Potsdam (aus Berlin kommend),2019
20.08.2019,20:00 - 22:00,Potsdam,Wahlveranstaltung,100,Marlene-Dietrich-Allee,2019
08.10.2019,11:30 - 13:00,Potsdam,"allgemeiner Protest, Flyerverteilung",10,H.-v.-Tresckow-Straße 2-13,2019
10.11.2019,13:00 - 14:30,Potsdam,30. Jahrestag der Wiedereröffnung der Glienicker Brücke,80 - 100,Berliner Straße / Glienicker Brücke,2019
04.11.2019,17:00 - 18:30,Potsdam,Zur Erinnerung an die friedliche Revolution von 1989,100,Luisenplatz,2019
09.11.2019,18:00 - 19:15,Potsdam,Gedenkveranstaltung,200,Innenstadt Potsdam,2019
13.08.2019,20:00 - 21:30,Potsdam,Gedenken zum Mauerbau,20,Glienicker Brücke,2019
30.08.2019,16:00 - 18:30,Potsdam,Spielt nicht mit unserer Zukunft - Landtagswahl,150,Innenstadt Potsdam,2019
14.08.2019,14:30 - 16:30,Potsdam,Klimanotstand in Potsdam,30,F.-Ebert-Straße 79/80,2019
16.08.2019,17:00 - 19:00,Potsdam,Gegen das Nichtvergessen der problembeladenen deutschen Geschichte,15-25,Innenstadt Potsdam,2019
01.09.2019,15:30 - 16:30,Potsdam,Weltfriedens- und Antikriegstag,100,Platz der Einheit - Deserteurdenkmal,2019
27.08.2019,16:00 - 19:00,Potsdam,Solidarität mit den Hohenzollern,150,Alter Markt (Fortunaportal),2019
15.08.2019,14:30 - 17:30,Potsdam,Landtagswahlkampf 2019,20,Platz der Einheit 1,2019
13.08.2019,17:30 - 22:00,Potsdam,Mahnwache als Protest gegen Veranstaltung der AfD,100,Heinrich-Mann-Allee 103,2019
27.08.2019,14:00 - 18:00,Potsdam,Gerechtigkeit für Rita Awour Ojunge,50 - 100,H.-v.-Tresckow-Straße 9-13,2019
20.08.2019,09:45 - 12:00,Potsdam,Demo gegen rassistische Äußerungen der AfD,8,Schopenhauer Straße 27,2019
21.08.2019,13:30 - 17:00,Potsdam,Gegendemo zum AfD-Infostand,2,Luisenplatz,2019
20.08.2019,18:30 - 20:00,Potsdam,Begrüßung der Besucher der Wahlarena,10 -20,Schiffbauergasse,2019
29.08.2019,16:00 - 19:00,Potsdam,Klimakrise,75,Brandenburger Straße ???,2019
31.08.2019,17:00 - 21:00,Potsdam,"Für das leben, für die Freiheit - In Gedenken an Micha",50,Innenstadt Potsdam,2019
31.08.2019,16:00 - 18:00,Potsdam,AKK = Absolute Klima Krise,10,Schopenhauer Straße (Stirnseite Sparkassengebäude),2019
27.09.2019,15:00 - 20:00,Potsdam,Aktion zum Tag des Flüchtlings,100,Innenstadt Potsdam,2019
20.09.2019,12:00 - 16:00,Potsdam,Klimakrise,1000,Innenstadt Potsdam,2019
15.09.2019,17:00 - 17:25,Potsdam,Spontanversammlung zu Koalitionsverhandlungen,3,Alleestraße 3 (Regine-Hildebrandt-Haus),2019
22.09.2019,10:30 - 12:00,Potsdam,"Verkehrswende, Mehr Platz fürs Rad, Autos als Gefährder",10 - 100,Innenstadt Potsdam,2019
07.10.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
07.10.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
14.10.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
21.10.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
28.10.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
04.11.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
11.11.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
18.11.2019,18:00 - 20:00,Potsdam,"Für Frieden, Solidarität und Menschenrechte",20,Steubenplatz,2019
