Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmer,Absage,sheet_name
2021-03-27 00:00:00,,,Gemeinsam gegen Rassismus,Marktplatz,,200,,2021
2021-03-17 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,15,,2021
2021-03-21 00:00:00,,,Freiheit - Religion,Marktplatz,,25,,2021
2021-03-27 00:00:00,,,Aufruf zur Teilnahme am Ostermarsch 2021 in Stuttgart am 03.04.2021,Marktplatz,,10,,2021
2021-03-28 00:00:00,,,Tanzen für den Frieden,Schlossgarten,,20,,2021
2021-03-19 00:00:00,,,Kunstperformance für Grundrechte,Messplatz,,20,,2021
2021-03-21 00:00:00,,,Kunstperformance für Grundrechte,Start: Karl-Friedrich-Straße,x,20,,2021
2021-04-09 00:00:00,,,Artenschutz geht uns Alle an!,,x,30,x,2021
2021-03-23 00:00:00,,,Catcalls of Karlsruhe kreiden an,Marktplatz,,2,,2021
2021-04-06 00:00:00,,,"Stille Mahnwache für Frieden, Menschenrechte und Demokratie",Schlossplatz Durlach,,8,,2021
2021-05-04 00:00:00,,,"Stille Mahnwache für Frieden, Menschenrechte und Demokratie",Schlossplatz Durlach,,8,,2021
2021-03-25 00:00:00,,,Maskenfreier Appell,Bundesverfassungsgericht,,40,,2021
2021-03-24 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,15,,2021
2021-03-25 00:00:00,,,Catcalls of Karlsruhe kreiden an,"Europaplatz, Herrenstraße, Marktplatz",,2,,2021
2021-03-25 00:00:00,,,Der 200te Feiertag der Befreiung Griechenlands von den Osmanen (25. März 1821),"Beginn: Marktplatz, Ende: Friedrichsplatz",x,200,,2021
2021-03-26 00:00:00,,,Mahnwache zum drohenden landverlust des Biolandhofes Schleinkofer aus Rüppurr,Rathaus am Marktplatz,,20,,2021
2021-03-28 00:00:00,,,Freiheit - Religion,Marktplatz,,25,,2021
2021-04-06 00:00:00,,,Frauenrechte,Rintheimer Straße (Türkisches Generalkonsulat),,15,x,2021
2021-04-02 00:00:00,,,Sternfahrt für ein Kinderlächeln,Start: Messplatz,x,?,,2021
2021-04-02 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,100,,2021
2021-04-09 00:00:00,,,Artenschutz geht uns Alle an!,Marktplatz,,30,x,2021
2021-04-24 00:00:00,,,Techno vereinigt Kulturen,Günther-Klotz-Anlage,,150,x,2021
2021-04-09 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,120,,2021
2021-04-04 00:00:00,,,Osterkundgebung: Mit Hoffnung durch den Frühling,Schlossplatz,,200,,2021
2021-04-01 00:00:00,,,Maskenfreier Appell,BVerfG,,50,,2021
2021-04-01 00:00:00,,,Bewegungsmeditation für den Frieden und gegen die Erstarrung der Herzen,"Park ""Alter Friedhof""",,80,,2021
2021-04-15 00:00:00,,,Finger weg von den Kindern. Keine Maskenpflicht. Keine Testpflicht. ,Staatliches Schulamt,,80,,2021
2021-04-04 00:00:00,,,Freiheit - Religion,Marktplatz,,25,,2021
2021-04-10 00:00:00,,,ZeroCovid,Schlossplatz,,50,,2021
2021-04-27 00:00:00,,,Frauenrechte,Rintheimer Straße (Türkisches Generalkonsulat),,15,,2021
2021-04-08 00:00:00,,,Unser deutsches Bundesverfassungsgericht muss - nach dem Vorbild des Verwaltungsgerichts Wien (VGW-103/048/3227/2021-2) - unsere Grundrechte schützen: Die Pandemie ist zu Ende,Bundesverfassungsgericht,,50,,2021
2021-04-24 00:00:00,,,Falun Dafa und die Verfolgung durch die Kommunistische Partei Chinas,Marktplatz,,5,,2021
2021-05-17 00:00:00,16:00:00,19:00:00,International Day against Homophobia (IDAHO*),"Platz der Grundrechte, Karl-Friedrich-Straße, Rondellplatz, Erbprinzenstraße, Karlstraße, Karlstraße, Kaiserstraße, Platz der Grundrechte",x,100,,2021
2021-04-24 00:00:00,,,Rettungsleine - gegen das Sterben im Mittelmeer,Platz der Grundrechte,,80,,2021
2021-04-12 00:00:00,,,Bundesweite Aktion zur Einführung einer bedarfsgerechten Personalausstattung im Krankenhaus,"Haus A, Städtisches Klinikum",,10,,2021
2021-04-07 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,15,,2021
