Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
9/20/20,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",Frau Christina Seefeld,Weltkindertag 2020 - Für freie glückliche Kinder!,50
9/20/20,15:00,16:30,"Dernsches Gelände, 65183 Wiesbaden (mit Aufzug)",ADFC Wiesbaden,Kidical Mass (familiärer Ausflug mit dem Fahrrad),150
9/25/20,11:45,14:00,"Schlossplatz, 65183 Wiesbaden, bis Bahnhofsplatz, 65189 Wiesbaden",Fridays for Future,Kein Grad weiter - Globaler Klimastreik,800
9/26/20,12:00,15:30,"Langgasse 31, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,"Für die Einhaltung der Standards der Europäischen Masthuhn-Initiative und gegen die Tierschutzstandards von ""Subway""",10-15
9/26/20,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,5-10
9/26/20,14:00,16:30,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,50
9/27/20,19:00,20:00,"Reisinger Anlage, 65189 Wiesbaden",Black Community Foundation,Black live matters Bewegung,50
9/29/20,9:30,11:30,"Rheinstraße 23-25, 65185 Wiesbaden",ver.di - Vereinte Dienstleistungsgewerkschaft,Gesundheitsversorgung für alle  - Privatisierung stoppen,50
10/1/20,11:00,18:00,"Marktplatz, 65183 Wiesbaden (zwischen Rathaus und Marktkirche)",Greenpeace Frankfurt,"Rodung Dannenröder Forst, Bau A49, Beratung im Hessischen Landtag dazu am 01.10.",5-10
10/2/20,11:30,13:30,"Schlossplatz, 65183 Wiesbaden",Landesorganisation Psychatrie-Erfahrene Hessen e. V.,Tag der Psychatrie-Toten,15-20
10/3/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,50
10/7/20,12:05,16:00,"Kranzplatz, 65183 Wiesbaden (mit Aufzug)",#alarmstuferot in der Veranstaltungswirtschaft - wir sind das Bündnis der Initiativen der Veranstaltungswirtschaft,#alarmstuferot Landesdemo zur Rettung der Veranstaltungswirtschaft Teil 4,300
10/7/20,17:00,19:30,"Dernsches Gelände, 65183 Wiesbaden, bis Bahnhofsplatz, 65189 Wiesbaden",Seebrücke Wiesbaden,Protest gegen die Schiffssicherheitsverordnung,200
10/10/20,9:00,18:30,"Luisenplatz, 65185 Wiesbaden",Falun Dafa Verein,Stoppt die Verfolgung und Organraub an Falun Dafa Praktizierende in China,5-10
10/10/20,12:00,16:00,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
10/10/20,14:00,16:30,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,50
10/12/20,9:00,10:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",ver.di Vereinte Dienstleistungsgewerkschaft,Warnstreik TVöD,100
10/12/20,11:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",ver.di - Vereinte Dienstleistungsgewerkschaft,Veranstaltung im Rahmen der Tarifrunde im öffentlichen Dienst,500
12.10.2020,12:00,16:00,"Bahnhofsplatz, 65189 Wiesbaden",Aktionsgemeinschaft Schutz des Ohmtals,Alternative zum Autobahnbau A49,2-3
15.10.2020,12:00,16:00,"Bahnhofsplatz, 65189 Wiesbaden",Aktionsgemeinschaft Schutz des Ohmtals,Alternative zum Autobahnbau A49,2-3
10/17/20,10:45,14:00,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
10/17/20,12:00,19:00,"Schlossplatz, 65183 Wiesbaden (mit Aufzug)",Querdenken 611,"Frieden, Freiheit, Liebe, Wahrheit gegen den Überwachungsstaat",500-1.000
10/17/20,14:00,16:00,"Strecke wie ""Querdenken 611""",Herr Jeremias Frey,Gegen Covid Idioten,10-20
10/17/20,16:30,18:00,"Mauritiusplatz, 65183 Wiesbaden",Potterhaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,5-10
10/17/20,10:00,18:30,"Ecke Schulgasse / Neugasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Stoppt die Verfolgung und Organraub an Falun Dafa Praktizierende in China,5-10
10/20/20,9:30,11:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",ver.di Vereinte Dienstleistungsgewerkschaft,Warnstreik TVöD,300 - 400
10/20/20,11:00,13:00,"Dernsches Gelände, 65183 Wiesbaden",ver.di - Vereinte Dienstleistungsgewerkschaft,Veranstaltung im Rahmen der Tarifrunde im öffentlichen Dienst,500
10/24/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,30
10/24/20,14:00,18:00,"Reisinger Anlage, 65189 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Bündnis gegen Rechts Wiesbaden,Gegen rechte Strukturen und Rassismus in Sicherheitsbehörden,2.000
10/25/20,13.00,14.30,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Bahnhofsplatz, 65189 Wiesbaden",cyclist4Future,JA zur Citybahn,99
10/25/20,14:30,17:00,"Bahnhofsplatz, 65189 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",Bürgerinitiative Bürger Pro CityBahn,Ja zur CityBahn für Wiesbaden,500
10/27/20,14:00,17:00,"Luisenplatz, 65185 Wiesbaden",Querdenken 611 Wiesbaden,Masken weg von unseren Kindern,500
10/27/20,16:30,17:30,"Schlossplatz, 65183 Wiesbaden",Jugendwerkstatt Wiesbaden gGmbH,Beitritt der WJW gGmbH in den Arbeitgeberverband,60
10/28/20,16:00,19:00,"Marktplatz, 65183 Wiesbaden (zwischen Marktkirche und Rathaus)",Attac Deutschland,Dannenröder Forst bleibt,15
10/28/20,14:30,17:00,"Mauritiusplatz, 65183 Wiesbaden",Deutscher Berufsverband für Pflegeberufe e. V. DBfK-Südwest,Pflege nach Corona,10-20
10/31/20,10:00,19:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren,6
10/31/20,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,30
11/4/20,9:00,11:00,"Am Landeshaus, 65187 Wiesbaden",Campact e. V.,Wald retten - Autobahn stoppen!,30
11/7/20,10:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren,60
11/7/20,11:00,16:00,"Luisenplatz, 65185 Wiesbaden",Querdenken 611,"Frieden, Freiheit, Wahrheit, Liebe gegen den Überwachungsstaat, gegen die Coronamaßnahmen, gegen die Mund-Nasen-Bedeckung und die Abstandsregeln, gegen den Überwachungsstaat für die Freiheit, den Frieden in Wahrheit",500
11/7/20,16:00,17:00,"Schlossplatz, 65183 Wiesbaden",Familien in der Krise,Keine Maske im Unterricht für Grundschüler,250-300
11/13/20,13:15,15:30,"Dernsches Gelände, 65183 Wiesbaden",Frau Johanna Domay,Abholzung des Dannenröder Forsts,3-20
11/13/20,14:30,18:00,"Mauritiusplatz, 65183 Wiesbaden",Frau Anna von Klass,Flashmob Corona-Dystopie,15
11/14/20,10:00,18:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren!,6
11/14/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Versammlungsfreiheit schützen,30
11/20/20,16:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Fridays for Future,"Fridays for future, Dannenröder Wald Soli Kundgebung",50
11/21/20,10:00,17:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren!,6
11/21/20,12:00,14:00,"Mauritiusplatz, 65183 Wiesbaden",Klimatheater,Danni bleibt - keine A 49,20
11/21/20,13:00,17:00,"Reisinger Anlage, 65189 Wiesbaden",Querdenken 611,"Frieden, Freiheit, Wahrheit, Liebe gegen den Überwachungsstaat, gegen die Coronamaßnahmen, gegen die Mund-Nasen-Bedeckung und die Abstandsregeln, gegen den Überwachungsstaat für die Freiheit, den Frieden in Wahrheit",1.000
11/21/20,14:00,17:00,"Bahnhofsplatz, 65189 Wiesbaden",Omas gegen Rechts,gegen Querdenken und Corona-Leugner,40-50
11/25/20,17:00,21:00,"Luisenplatz, 65185 Wiesbaden",Bündnis gegen Gewalt an Frauen,Internationaler Tag gegen Gewalt an Frauen,475
11/28/20,10:00,17:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren!,6
11/28/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Bürgerdialog Wiesbaden,30
11/29/20,16:30,17:30,"Georg-August-Zinn-Straße 1, 65183 Wiesbaden",Hessischer Musikverband e. V.,"""Viertelnach12"" Protest gegen mangelnde Unterstützung der Musikvereine in Hessen",100
12/1/20,9:30,12:00,"Luisenplatz, 65185 Wiesbaden",Gewerkschaft Erziehung und Wissenschaft (GEW),Übergabe Unterschriftenliste Konzept Unterricht,20-30
12/5/20,10:00,17:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren! www.ENDCCP.com & Organraub in China,6
12/5/20,11:30,15:00,"Warmer Damm, 65189 Wiesbaden",Wiesbadener Bündnis gegen Rechts,Gegen Verschwörungstheorien und Polizeigewalt,250
12/5/20,12:00,14:00,"Warmer Damm, 65189 Wiesbaden",Die PARTEI,Durchsetzung des Impfzwanges,10
12/5/20,14:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Wiesbaden,Grundrechte verteidigen - Zwangsimpfung verhindern,25
12/10/20,14:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",Seebrücke Wiesbaden,Landesaufnahmeprogramm Hessen / Flüchtlingskrise,40-50
12/12/20,14:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Grundrechte verteidigen - Zwangsimpfung verhindern,25
12/12/20,10:00,17:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren! www.ENDCCP.com Organraub in China,4-8
12/19/20,10:00,17:00,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der kommunistischen Partei Chinas eliminieren! www.ENDCCP.com Organraub in China,4-6
12/19/20,14:00,15:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache / Bürgerdialog Wiesbaden,Grundrechte verteidigen - Zwangsimpfung verhindern,25
,,,,,,
1/2/21,10:00,14:00,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,    Das Gespenst der Kommunistischen Partei Chinas eliminieren! www.endccp.com und Organraub in China, 5-10
1/8/21,11:00,14:00,"Dernsches Gelände, 65183 Wiesbaden",Herr Tewodros Meshesha,Demo gegen aktuellen Krieg in Tigray-Äthiopien,500
1/9/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie Wiesbaden Rheingau Taunus e. V. - i. G.,Grundrechte und evtl. Impfpflicht,30
1/16/21,10:00,17:15,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,    Das Gespenst der Kommunistischen Partei Chinas eliminieren! www.endccp.com und Organraub in China, 4 - 7
1/30/21,10:30,17:15,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! www.endccp.com Organraub in China,4-8
1/30/21,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",Frau Doris Geldermann,Grundrechte und evtl. Impfpflicht,30
2/4/21,11:30,13:00,"Kormoranweg 5, 65201 Wiesbaden",Campact e. V.,Hände weg von unseren Kontoauszügen! Stoppen Sie Schufa-Check-Now,6
2/5/21,12:00,14:00,"Schlossplatz, 65183 Wiesbaden",Der Untergang der Modebranche,Untergang der Modebranche,6
2/6/21,10:00,17:15,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,2-6
2/6/21,14:00,14:30,"Wellritzstraße, 65183 Wiesbaden",Ausländerbeirat,Mahnwache wegen Todesfall einer Frau in der Wellritzstraße,10-15
2/6/21,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",Mahnwache Demokratie Wiesbaden Rheingau-Taunus e. V.,Demokratie und Impfzwang,20
2/6/21,16:00,17:00,"Schlossplatz, 65183 Wiesbaden",Jugend Wählt,Wahlalter 16,10
2/12/21,17:00,18:00,"Wellritzstraße, 65183 Wiesbaden",Stadtteilkonferenz Westend in Kooperation mit Präventionsrat,Tötungsdelikt in der Nacht zum 01.02.2021,100
2/13/21,10:00,17:15,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) & Organraub in China,3-6
2/13/21,14:00,15:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,25
2/16/21,8:30,20:00,"Mainzer Straße 80, 65189 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/17/21,8:30,20:00,"Glarusstraße, 65203 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/17/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/18/21,8:30,20:00,"Schlossplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/18/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/19/21,8:30,20:00,"Schlossplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/19/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/19/21,16:00,18:30,"Dernsches Gelände, 65183 Wiesbaden",Bündnis gegen Rechts,Hanau ist überall,300
2/19/21,18:00,19:00,"Luisenplatz, 65185 Wiesbaden",Omas gegen Rechts Wiesbaden,Jahrestag des Attentates in Hanau vor einem Jahr,60-70
2/20/21,10:00,16:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,2-6
2/20/21,14:00,15:30,"Luisenplatz, 65185 Wiesbaden",Herr Sven Geldermann,"Grundrechte, Impfen",50
2/20/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/20/21,15:30,17:30,"Luisenplatz, 65185 Wiesbaden",Herr Torsten Miertsch,"Gesellschaft, Medizin, Psychologie, Immunsystem u. a.",20-25
2/21/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/22/21,8:30,20:00,"Kochbrunnenplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/22/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/23/21,8:30,20:00,"Kochbrunnenplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/23/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/24/21,8:30,20:00,"Kochbrunnenplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/24/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/25/21,8:30,20:00,"Kochbrunnenplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/25/21,11:00,12:30,"Mainzer Straße 80, 65189 Wiesbaden bis Rheinstraße 186",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"Insektenschutz, wir tun schon viel, was macht ihr eigentlich",50-90
2/25/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/26/21,8:30,20:00,"Kochbrunnenplatz, 65183 Wiesbaden",Land schafft Verbindung Hessen e. V. und Hessischer Bauernverband e. V.,"LSV und HBV weisen die Landesregierung auf die schlechte Umsetzung bei der Landes-Düngeverordnung, der Binnendifferenzierung und dem Aktionsprogramm Insektenschutz hin",10
2/26/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/27/21,10:00,16.00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China, 3 - 6
2/27/21,13:00,14:30,"Kreuzung Michelsberg / Marktstraße / Kirchgasse / Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
2/27/21,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",Herr Sven Geldermann,"Grundrechte, Impfen, Coronamaßnahmen",50
2/27/21,14:00,18:00,"Kochbrunnenplatz, 65183 Wiesbaden",Evangelium verändert Städte,Freiheit-Religion,10
2/27/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
2/28/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/1/21,10:30,11:30,"Mainzer Straße 65185 Wiesbaden, bis Sonnenberger Straße, 65193 Wiesbaden",Taxi-Vereinigung Frankfurt am Main e. V.,Verbraucherschutz versus Personenbeförderungsgesetz,500
3/1/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/1/21,19:00,20:30,"Sedanplatz, 65183 Wiesbaden",Frau Katharina Wender,Femizide,50
3/2/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/3/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/4/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/5/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/5/21,15:00,17:00,"Dernsches Gelände, 65183 Wiesbaden",Klimaliste Wiesbaden,verschiedene Umweltthemen,10-50
3/6/21,10:00,16:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,2-8
3/6/21,12:00,16:00,"Faulbrunnenplatz, 65183 Wiesbaden",Omas gegen Rechts Wiesbaden und Black Community Foundation,"Wiesbaden wählt demokratisch, antirassistisch und klimagerecht",120
3/6/21,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",Frau Doris Geldermann,"Grundrechte, Impfen Coronamaßnahmen",50
3/6/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/7/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/8/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/8/21,18:00,21:00,"Luisenplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Initiative Frauenkampftag,Feministischer Kampftag,300
3/9/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/10/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/10/21,17:00,17:45,"Dernsches Gelände, 65183 Wiesbaden",Frau Henriette Claussen,Wirksame Corona-Maßnahmen statt falsche Versprechungen,150-250
3/11/21,14:00,17:00,"Langgasse Ecke Gemeindebadgäßchen, 65183 Wiesbaden",Initiative körperliche Selbstbestimmung,Für das Recht auf Abtreibung / körperliche Sebstbestimmung,6
3/11/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/12/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/13/21,10:00,16:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,8-18
3/13/21,10:00,17:30,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,40
3/13/21,14:00,15:30,"Luisenplatz, 65185 Wiesbaden",Frau Doris Geldermann,Grundrechte Impfen Coronamaßnahmen,50
3/13/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/13/21,15:00,19:00,"Reisinger Anlage, 65185 Wiesbaden",Herr Kai Börner,Demokratie bewahren! Existenzen retten!,350
3/13/21,15:30,18:00,"Friedrich-Ebert-Allee, 65185 Wiesbaden",Die PARTEI,"Friede, Freude, Eierkuchen und Demokratie",20
3/13/21,15:30,21:00,"Herbert Anlage, 65185 Wiesbaden",Wiesbadener Bündnis gegen Verschwörungstheorien und Polizeigewalt,Querdenken wegbassen Polizei abschaffen,200
3/13/21,16:00,17:30,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
3/13/21,16:00,19:00,"Bahnhofsplatz, 65185 Wiesbaden",Omas gegen Rechts Wiesbaden,Gegendemonstration zu Coronaleugnern,50
3/14/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/15/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/16/21,12:00,15:00,"Marktplatz, 65183 Wiesbaden",Gewerkschaft IGL,Sicherung  der Arbeitsplätze bei Wisag,50 - 150
3/16/21,13:00,14:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Michaela Gringmuth-Endraß,Schützt auch Erzieher*innen vor Corona,20-30
3/16/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/17/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/17/21,15:00,16:00,"Langgasse Ecke Gemeindebadgäßchen, 65183 Wiesbaden",Initiative Körperliche Selbstbestimmung,Körperliche Selbstbestimmung,6
3/17/21,17:00,19:00,"Dernsches Gelände, 65183 Wiesbaden",Flüchtlingsrat Wiesbaden,Abschiebungen aus Hessen,40-100
3/18/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/18/21,15:00,16:00,"Langgasse Ecke Gemeindebadgäßchen, 65183 Wiesbaden",Initiative Körperliche Selbstbestimmung,Körperliche Selbstbestimmung,6
3/19/21,12:30,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",FridaysforFuture,Globaler Klimastreik,300
3/19/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/19/21,15:00,16:00,"Langgasse Ecke Gemeindebadgäßchen, 65183 Wiesbaden",Initiative Körperliche Selbstbestimmung,Körperliche Selbstbestimmung,6
3/20/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Demokratie Versammlungsfreiheit,30
3/20/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/21/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/22/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
