Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
3/26/19,18:30,19:30,"Mauritiusplatz, 65183 Wiesbaden",Herr Dirk Vielmeyer,Klimawandel,--
3/27/19,10:00,14:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",dbb beamtenbund und tarifunion,Einkommensrunde öffentlicher Dienst Hessen,--
4/5/19,8:00,12:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Wilhelmstraße, 65183 Wiesbaden (Bowling Green)","ver.di, Vereinte Dienstleistungsgewerkschaft",Tarifrunde private und öffentliche Banken,--
4/6/19,12:00,16:00,"Wilhelmstraße Ecke Frankfurter Straße, 65183 Wiesbaden",Bündnis gegen Rechts,Den Rechtsruck nicht unkommentiert lassen!,--
4/6/19,13:00,17:00,"Langgasse, 65183 Wiesbaden, bis Faulbrunnenplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
4/6/19,13:00,17:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",#WirSindVielMehr#,"Sozialpolitische Missstände, Meinungsfreiheit, EU-Urheberrecht",--
4/10/19,11:00,15:00,"Biebricher Allee, 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",Taxi-Vereinigung Frankfurt/Main e. V.,Scheuers Eckpunkte zur Änderung des PBefG,--
4/11/19,13:00,17:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
4/12/19,11:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Frau Emely Dilchert,Fridays for Future - Schüler*innen für den Klimaschutz,--
4/16/19,18:30,19:30,"Mauritiusplatz, 65183 Wiesbaden",Wiesbadener Klimawache,Klimaschutz,--
4/18/19,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
4/20/19,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
4/25/19,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
5/1/19,9:00,15:00,"Kochbrunnenplatz, 65183 Wiesbaden",DGB Wiesbaden Rheingau-Taunus,1. Mai Kundgebung und Demonstration,--
5/2/19,11:00,13:00,"Schlossplatz, 65183 Wiesbaden",Hessische Staatskanzlei,Europawoche 2019 / Europawahlen 26.05.2019,--
5/2/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
5/4/19,12:00,14:00,"Schlossplatz, 65183 Wiesbaden","Landeshauptstadt Wiesbaden, Kommunales Frauenreferat","Hebammen in Wiesbaden, Werbung für die Servicestelle",--
5/8/19,8:30,12:00,"Bahnhofsplatz 65185 Wiesbaden, bis Kochbrunnenplatz, 65183 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde private und öffentliche Banken,--
5/9/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
5/10/19,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden",SPD Unterbezirk Wiesbaden,Europawahlkampf,--
5/11/19,10:00,14:00,"Kirchgasse 50, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschlands,Wahlwerbung Europawahl,--
5/11/19,11:00,14:30,"Schlossplatz, 65183 Wiesbaden",UNICEF Wiesbaden,Kindheit braucht Frieden,--
5/11/19,12:00,16:00,"Langgasse, 65183 Wiesbaden, Ecke Schützenhofstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
