Datum,Ort (ausschließlich Dresden),Thema,Teilnehmer,sheet_name
2020-11-02,Wienerplatz,Meinungsfreiheit,30,2020
2020-11-08,Neumarkt,Aufklärung zum Thema Corona Fakten,500,2020
2020-11-09,Neumarkt,Gemeinsam für Bürgerrechte,600,2020
2020-11-09,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-11-09,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-11-09,Wienerplatz,Meinungsfreiheit,30,2020
2020-11-09,Neuamrkt,Der 09. November 1938 - Mahnung und Verantwortung ,400,2020
2020-11-09,Theaterplatz,Der 09. November 1938 - Mahnung und Verantwortung ,400,2020
2020-11-09,Akademiestraße,Mahnwache gegen Rassismus - in Gedenken an die Novemberprgrome 1938,8,2020
2020-11-16,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-11-16,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-11-16,Wienerplatz,Meinungsfreiheit,30,2020
2020-11-20,Bremer Straße - Hammerweg,"Solidarität mit Geflüchteten & Gefangenen - Lager evakuieren, Knäste räumen",50,2020
2020-11-21,Neumarkt,Dresden zum sicheren Hafen,200,2020
2020-11-22,Theaterplatz,Gegen Diskriminierung und für Menschenrechte!,1000,2020
2020-11-22,Theaterplatz,Gegen Schwurbler und Rassisten,100,2020
2020-11-22,Theaterplatz,Wir brechen das Schweigen - Lesung aus der sächsischen Landesverfassung und dem Grundgesetz,500,2020
2020-11-23,Theatherplatz,Gemeinsam für Bürgerrechte,1000,2020
2020-11-23,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-11-23,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-11-23,Theaterplatz,Gemeinsam für Bürgerrechte,600,2020
2020-11-23,Wienerplatz,Meinungsfreiheit,30,2020
2020-11-23,Terrassenufer,Abschaffung jeglicher Coronamaßnahmen speziell für Kinder,20,2020
2020-11-29,,Dresden kein sicherer Hafen ,100,2020
2020-11-29,Theaterplatz,Dresden Liest,1000,2020
2020-11-30,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-11-30,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-11-30,Wienerplatz,Meinungsfreiheit,30,2020
2020-11-30,Wigardstraße,"Land schafft Verbindung - Wir rufen zu Tisch, Gemeinsam mit dem Sächsischen Landesbauernverband muss die Sächsische Düngerverordnung zur Chefsache gemacht werden",600,2020
2020-12-05,Theaterplatz,Grundrechte schützen!,500,2020
2020-12-06,Theaterplatz,Dresden singt,1000,2020
2020-12-07,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-12-07,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-12-07,Wienerplatz,Meinungsfreiheit,30,2020
2020-12-07,Neumarkt,Wahrung der Grundrechte,100,2020
2020-12-12,Cockerwiese,"Frieden, Freiheit und Demokratie in Zeiten von Corona sowie gegen die Unverhältnismäßigkeit der Corona-Maßnahmen",4000,2020
2020-12-12,Neumarkt,Lebendiger Advent,500,2020
2020-12-12,Güntzstr. - Lennestraße,Die Liebe zieht durch Dresden,100,2020
2020-12-12,Skaterpark Lingnerallee,"Abstand zu Nazis, Verschwörungstheoretiker*innen und Antisemit*innen",400,2020
2020-12-12,Neumarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken!,400,2020
2020-12-12,Herkulesallee,Querstellen statt Querdenken ,1000,2020
2020-12-12,Theaterplatz,Hochkultur und Freie Szene in Dresden krisenfest machen,15,2020
2020-12-12,Hauptstraße/Theatherplatz/Alaunpark/Neumarkt/George-Gomondai-Platz/Wiener Platz/Prager Straße/Cockerwiese,reptiloide weltrevolution statt rechter querfront! antiverschwurbelte aktion #drECHSden,4400,2020
2020-12-12,Cockerwiese,Kundgebung auf der Cockerwiese,50,2020
2020-12-13,Theaterplatz,Weihnachten wie aus 1000 und 1 Nacht,1000,2020
2020-12-14,1.Altmarkt,1. Gemeinsam für Bürgerrechte ,200,2020
2020-12-14,Theaterplatz,Prokrastinierende Elitedemonstrant*innen greifen ihr Demogeld ab (Gegen rassistische Umtriebe in Sachsen),800,2020
2020-12-14,Neumarkt,Antifaschistisches Weihnachtsliedersingen,650,2020
2020-12-14,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-12-14,Wienerplatz,Meinungsfreiheit,30,2020
2020-12-14,Altmarkt,"Corona-Protestler - Wie soll eine Gesellschaft mit diesen kognitiv Schwachen umgehen?""",400,2020
2020-12-14,Wilsdruffer Straße ,Nach den Rechten schauen,1000,2020
2020-12-20,Theaterplatz,Dresdner Bescherung,1000,2020
2020-12-21,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-12-21,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-12-21,Wienerplatz,Meinungsfreiheit,30,2020
2020-12-28,Neumarkt,Alle zusammen gegen den Faschismus,1000,2020
2020-12-28,Neumarkt,Nationalismus raus den Köpfen,300,2020
2020-12-28,Wienerplatz,Meinungsfreiheit,30,2020
2021-01-11,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",200,2021
2021-01-18,Altmarkt,Nationalismus ist keine Alternative!,200,2021
2021-01-18,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100,2021
2021-01-24,Markt Nossen - Landtag,Schluß mit dem Lockdown,unbekannt,2021
2021-01-25,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100,2021
2021-01-25,Kreuzkirche,Nationalismus ist keine Alternative!,200,2021
2021-02-01,Kramergasse,"Die sind so doof, so wahnsinnig doof, mein Gott, wie
kann man nur so doof sein ?!
",25,2021
2021-02-01,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100,2021
2021-02-06,Messe ,Raum für Wahlen - Raum für die Demokratie,7,2021
2021-02-06,Messering,"Für Corona-Schutzmaßnahmen, gegen Massenpräsenzveranstaltungen",10,2021
2021-02-06,Messering,Nie wieder AFD,50,2021
